step,training_loss,examples,groups,gain_log_mae,gain_log_rmse,gain_relative_mae,gain_relative_rmse,gain_prediction_bias_log,top1_accuracy,mean_selection_regret_log,positive_target_fraction,negative_prediction_fraction,plane_count_min,plane_count_max,plane_count_mean
1,0.4225858747959137,2048,256,0.6756154894828796,0.7679526209831238,2.0887556076049805,14.302412986755371,0.52089923620224,0.0390625,0.44327865312061476,0.78662109375,0.0,1,2230,120.94965277777777
250,0.019795848056674004,2048,256,0.11344694346189499,0.29273054003715515,1.0803799629211426,12.476387977600098,-0.010426532477140427,0.60546875,0.0651188237243332,0.78662109375,0.0,1,2230,120.94965277777777
500,0.014695730991661549,2048,256,0.12521880865097046,0.340693861246109,0.9929556250572205,9.425124168395996,-0.06048531085252762,0.59375,0.06580399732683873,0.78662109375,0.0,1,2230,120.94965277777777
750,0.05646492913365364,2048,256,0.13121803104877472,0.3485364317893982,1.2105400562286377,13.783997535705566,-0.02674430049955845,0.5625,0.07300410541938618,0.78662109375,0.0,1,2230,120.94965277777777
1000,0.03189944475889206,2048,256,0.10334238409996033,0.2701735198497772,1.010380506515503,11.748424530029297,-0.03265031799674034,0.56640625,0.07553244259906933,0.78662109375,0.0,1,2230,120.94965277777777
1250,0.02034788578748703,2048,256,0.10399086773395538,0.2818775773048401,1.0427441596984863,12.273685455322266,-0.056423455476760864,0.63671875,0.04649698898720089,0.78662109375,0.0,1,2230,120.94965277777777
1500,0.0898842141032219,2048,256,0.10321357846260071,0.2709950804710388,1.0035080909729004,11.709647178649902,-0.04882222041487694,0.62890625,0.04935765497793909,0.78662109375,0.0,1,2230,120.94965277777777
1750,0.10157984495162964,2048,256,0.1068556010723114,0.25622355937957764,0.970445990562439,11.311962127685547,0.00921236164867878,0.65625,0.043123600422404706,0.78662109375,0.0,1,2230,120.94965277777777
2000,0.044845230877399445,2048,256,0.10382487624883652,0.2538771629333496,0.9580079317092896,11.11491584777832,0.003411500481888652,0.6328125,0.04342809563240735,0.78662109375,0.0,1,2230,120.94965277777777
2250,0.08173124492168427,2048,256,0.09965509921312332,0.2520052492618561,0.9138513803482056,10.615592002868652,0.0039003421552479267,0.66796875,0.04263447205448756,0.78662109375,0.0,1,2230,120.94965277777777
2500,0.14795330166816711,2048,256,0.09685541689395905,0.25120940804481506,0.895255982875824,10.212455749511719,-0.012197881937026978,0.671875,0.038583611240028404,0.78662109375,0.0,1,2230,120.94965277777777
2750,0.023897897452116013,2048,256,0.10080929100513458,0.2585281431674957,0.9733319878578186,11.26141357421875,-0.0204731747508049,0.6640625,0.04081892131944187,0.78662109375,0.0,1,2230,120.94965277777777
3000,0.002902329433709383,2048,256,0.10498306155204773,0.28317782282829285,1.0809588432312012,12.850981712341309,-0.027261506766080856,0.65234375,0.04133218913921155,0.78662109375,0.0,1,2230,120.94965277777777
3250,0.03725457191467285,2048,256,0.10088939964771271,0.26995983719825745,1.0269274711608887,12.423097610473633,-0.028567979112267494,0.65234375,0.04094975270709256,0.78662109375,0.0,1,2230,120.94965277777777
3500,0.18360725045204163,2048,256,0.1034078449010849,0.2690030336380005,1.0016783475875854,11.96889877319336,-0.015124856494367123,0.6640625,0.03898508851125371,0.78662109375,0.0,1,2230,120.94965277777777
3750,0.33695927262306213,2048,256,0.09536582976579666,0.26603639125823975,0.910011887550354,9.191455841064453,-0.003812439739704132,0.63671875,0.04698244448809419,0.78662109375,0.0,1,2230,120.94965277777777
4000,0.0027509930077940226,2048,256,0.09684212505817413,0.2734462022781372,0.9224470853805542,9.609281539916992,-0.014697848819196224,0.65625,0.041464729969447944,0.78662109375,0.0,1,2230,120.94965277777777
4250,0.009546013548970222,2048,256,0.10161177814006805,0.2601461112499237,0.9833347797393799,11.861908912658691,-0.0045529683120548725,0.6484375,0.04249475326651009,0.78662109375,0.0,1,2230,120.94965277777777
4500,0.9638926386833191,2048,256,0.09664875268936157,0.25645962357521057,0.9458258748054504,11.099677085876465,-0.021014748141169548,0.65625,0.042503722208493855,0.78662109375,0.0,1,2230,120.94965277777777
4750,0.07206235080957413,2048,256,0.09690527617931366,0.25137650966644287,0.871751606464386,10.108967781066895,-0.004865382332354784,0.640625,0.0433383694398799,0.78662109375,0.0,1,2230,120.94965277777777
5000,0.017432572320103645,2048,256,0.10716301202774048,0.2748863697052002,1.0429829359054565,12.479692459106445,-0.006580800749361515,0.65625,0.04085785785719054,0.78662109375,0.0,1,2230,120.94965277777777
5250,0.02864612266421318,2048,256,0.10722865909337997,0.26493656635284424,0.9366939067840576,11.175915718078613,0.01739727146923542,0.65234375,0.03800210612826049,0.78662109375,0.0,1,2230,120.94965277777777
5500,0.07388727366924286,2048,256,0.09836772829294205,0.26205337047576904,0.8549634218215942,9.24831485748291,-0.013461661525070667,0.64453125,0.041428871314565185,0.78662109375,0.0,1,2230,120.94965277777777
5750,0.10222393274307251,2048,256,0.10361867398023605,0.26472413539886475,1.0292530059814453,12.23843002319336,-0.01049795188009739,0.66796875,0.03629226612247294,0.78662109375,0.0,1,2230,120.94965277777777
6000,0.008902264758944511,2048,256,0.09482491761445999,0.24689443409442902,0.8895903825759888,10.631731986999512,-0.008725685998797417,0.6328125,0.046250234059698414,0.78662109375,0.0,1,2230,120.94965277777777
