step,training_loss,examples,groups,gain_log_mae,gain_log_rmse,gain_relative_mae,gain_relative_rmse,gain_prediction_bias_log,top1_accuracy,mean_selection_regret_log,positive_target_fraction,plane_count_min,plane_count_max,plane_count_mean
1,0.41562122106552124,8192,512,0.7160769701004028,0.9780295491218567,43.59819793701172,1017.2332763671875,0.38944941759109497,0.00390625,1.0045287979737623,0.9573974609375,1,1255,64.97392003676471
100,0.12075527757406235,8192,512,0.36963820457458496,0.848731517791748,43.028263092041016,1017.2194213867188,-0.08463489264249802,0.341796875,0.2557457381990389,0.9573974609375,1,1255,64.97392003676471
200,0.04353946074843407,8192,512,0.2092421054840088,0.4925691783428192,37.41677474975586,931.4931030273438,-0.05317019298672676,0.365234375,0.23838592826359672,0.9573974609375,1,1255,64.97392003676471
300,0.06262145191431046,8192,512,0.20708300173282623,0.47684311866760254,39.89884567260742,981.6514282226562,-0.02419121377170086,0.416015625,0.18906622378563043,0.9573974609375,1,1255,64.97392003676471
400,0.27534031867980957,8192,512,0.1947544515132904,0.44022852182388306,35.0212287902832,899.5087890625,0.003225802443921566,0.423828125,0.16684461497789016,0.9573974609375,1,1255,64.97392003676471
500,0.10675331950187683,8192,512,0.20340539515018463,0.4980219900608063,37.731353759765625,956.41650390625,-0.1720322221517563,0.4453125,0.15440263849450275,0.9573974609375,1,1255,64.97392003676471
600,0.2191145271062851,8192,512,0.18026943504810333,0.4296058714389801,39.25621795654297,979.837158203125,-0.04618312045931816,0.447265625,0.14978807567968033,0.9573974609375,1,1255,64.97392003676471
700,0.18520012497901917,8192,512,0.17286890745162964,0.41818103194236755,33.92229080200195,896.8828735351562,-0.08429989218711853,0.458984375,0.15621864845161326,0.9573974609375,1,1255,64.97392003676471
800,0.3718993365764618,8192,512,0.18187537789344788,0.44485777616500854,35.399417877197266,926.7301635742188,-0.1291891485452652,0.46484375,0.15539109621022362,0.9573974609375,1,1255,64.97392003676471
900,0.03320009261369705,8192,512,0.16885796189308167,0.40608611702919006,31.147077560424805,857.1097412109375,-0.05785719305276871,0.470703125,0.14070405115489848,0.9573974609375,1,1255,64.97392003676471
1000,0.02433256432414055,8192,512,0.16685521602630615,0.3906513452529907,29.934843063354492,818.937744140625,-0.04802127927541733,0.451171875,0.151917606650386,0.9573974609375,1,1255,64.97392003676471
1100,0.0680447593331337,8192,512,0.1859322041273117,0.4212823212146759,44.143592834472656,907.5658569335938,0.03578095883131027,0.470703125,0.14671508107858244,0.9573974609375,1,1255,64.97392003676471
1200,0.026886876672506332,8192,512,0.18666782975196838,0.39363566040992737,33.81022644042969,898.3060913085938,0.03843920677900314,0.46875,0.15131027020106558,0.9573974609375,1,1255,64.97392003676471
